"Reference","Value","Footprint","Datasheet","MANUFACTURER","PARTREV","STANDARD","Sim.Device","Sim.Pins","Qty"
"C1, C2, C5, C6","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","4"
"C3, C4, C7-C9","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","5"
"C10","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","1"
"D1","LED_BUILTIN RED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","1"
"D2, D4","RED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","2"
"D3","GREEN","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","1"
"D5","D","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","D","1=K 2=A","1"
"J1","USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10104110_Horizontal","~","","","","","","1"
"J2-J7","Conn_01x15","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~","","","","","","6"
"R1","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","1"
"R2-R4, R7","220","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","4"
"R5, R6","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","2"
"SW1","1-1825910-4","Libraries:TE_1-1825910-4","","TE CONNECTIVITY","C10","MANUFACTURER RECOMMENDATION","","","1"
"U1","ATmega8L-8A","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2486-8-bit-avr-microcontroller-atmega8_l_datasheet.pdf","","","","","","1"
"U2","CH340C","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf","","","","","","1"
"U3","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","1"
"Y1","16MHz","Crystal:Crystal_HC49-U_Vertical","~","","","","","","1"
"Y2","12MHz","Crystal:Crystal_HC49-U_Vertical","~","","","","","","1"
